"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\sina\Desktop\student-resource-hub\components\modules\ProgressUplaod\ProgressUpload.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 0, 2, 51
"c:\Users\sina\Desktop\student-resource-hub\components\modules\SectionTitle\SectionTitle.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\sina\Desktop\student-resource-hub\components\modules\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 192, 0, 0, 0, 15, 207
"c:\Users\sina\Desktop\student-resource-hub\components\modules\Skeleton\Skeleton.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\categories\AddCategory.jsx", "JavaScript JSX", 0, 0, 0, 100, 0, 0, 1, 6, 107
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\categories\EditModal.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 1, 6, 74
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\categories\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 0, 6, 83
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\colleges\AddCollege.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 0, 1, 6, 78
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\colleges\EditModal.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 1, 6, 71
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\colleges\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 0, 6, 73
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\courses\CreateCourse.jsx", "JavaScript JSX", 0, 0, 0, 215, 0, 0, 0, 9, 224
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\courses\EidtModal.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 0, 1, 7, 217
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\courses\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 4, 86
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\index\chart\PieChart.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 4, 66
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\index\chart\composedChart.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\students\EditModal.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 1, 10, 95
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\students\TableSection.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 6, 70
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\teachers\AddTeacher.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 0, 1, 6, 78
"c:\Users\sina\Desktop\student-resource-hub\components\templates\admin\teachers\EditModal.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 1, 6, 71
